,frame,x,y,z,bodypart
0,0.0,,,,elbow
1,0.0,0.08146477197661771,-0.3375295370488786,-0.014156969431458763,wrist
2,0.0,0.0028110259072499227,-0.3090591337916896,-0.007110184585376059,thumb1
3,0.0,-0.013207528839082674,-0.28452547905157044,-0.007067911374790403,thumb2
4,0.0,-0.021903282215054137,-0.2605200300327863,-0.00972575276719366,thumb3
5,0.0,0.029990767341445,-0.2900606926959722,0.032655778517516845,index1
6,0.0,0.006578897115831678,-0.2644327204650439,0.0187541620918557,index2
7,0.0,-0.006142202602632596,-0.25275234434902744,0.0001000079031991119,index3
8,0.0,-0.01518468280350413,-0.24620398290294843,-0.016660687791119677,index4
9,0.0,0.05500268804075753,-0.2813339013341699,0.0334041075604355,middle1
10,0.0,0.02411886586099808,-0.24722855877075448,0.022644733380435614,middle2
11,0.0,0.006173870927990308,-0.23861813947454635,0.006800549351183252,middle3
12,0.0,-0.00238956614528521,-0.2422761989643312,-0.01748358767591511,middle4
13,0.0,0.07064852741492475,-0.2724699504911346,0.021685070239029262,ring1
14,0.0,0.04508849032115761,-0.2410896540671698,0.017638080188432603,ring2
15,0.0,0.02805214358205238,-0.2327436088255906,0.004557282993644482,ring3
16,0.0,0.017545793888775182,-0.23541904423253388,-0.01350065895700376,ring4
17,0.0,0.0853123267595207,-0.2685317126672235,0.0021363478847876774,little1
18,0.0,0.05521041594616201,-0.2433971776951303,-0.003365684394235395,little2
19,0.0,,,,little3
20,0.0,,,,little4
21,1.0,,,,elbow
22,1.0,0.08110771792514451,-0.33765395297892914,-0.014791989956108337,wrist
23,1.0,0.002814402515635084,-0.3092760775733603,-0.007134166745549647,thumb1
24,1.0,-0.012977716525482075,-0.2843452315104339,-0.007413264511163836,thumb2
25,1.0,-0.02182352754976033,-0.26052475455356644,-0.00975159516718889,thumb3
26,1.0,0.030449231944871966,-0.29050667479571335,0.0323608900229157,index1
27,1.0,0.0065519365049141465,-0.26448193222500044,0.01843845581360007,index2
28,1.0,-0.005820643397449851,-0.2529142506616646,-0.0001846932342631502,index3
29,1.0,-0.0151529670472835,-0.2462297493394054,-0.016715213479142607,index4
30,1.0,0.05500692480108607,-0.28163605199733166,0.03318214263558902,middle1
31,1.0,0.023778853333597805,-0.2477060406528675,0.022081509050434565,middle2
32,1.0,0.0063748279270347125,-0.23876195825037644,0.006679953675366876,middle3
33,1.0,-0.002299330139677508,-0.24245155058512816,-0.01764443841158518,middle4
34,1.0,0.07106759648198055,-0.27259330516176233,0.021220083774648346,ring1
35,1.0,0.045067135155848786,-0.2411252492046671,0.017293006439953913,ring2
36,1.0,0.02830578923532788,-0.23291243990012908,0.004056181529856345,ring3
37,1.0,0.01742019998137137,-0.23563269918260837,-0.013706839883574816,ring4
38,1.0,0.0854689195687163,-0.2685168425826841,0.001837698289648776,little1
39,1.0,0.05566277587422214,-0.24342169593451218,-0.003585083540687692,little2
40,1.0,,,,little3
41,1.0,0.04084272340158769,-0.23177855637709716,9.687444257994171e-05,little4
42,2.0,,,,elbow
43,2.0,0.08119013659562582,-0.3377041935886397,-0.01515043910662342,wrist
44,2.0,0.0028230268913765066,-0.3094224045437841,-0.0073210434862172186,thumb1
45,2.0,-0.012938223542321672,-0.28445828966125825,-0.0075182016871507,thumb2
46,2.0,-0.021562882409463843,-0.260583386404287,-0.009927909466160956,thumb3
47,2.0,0.030413966948603932,-0.2905953199732213,0.03233132190554822,index1
48,2.0,0.006609474858978087,-0.2645344807022336,0.018444785720328635,index2
49,2.0,-0.005698247169176177,-0.25322974554199523,-0.000334195586544489,index3
50,2.0,-0.015309738225082387,-0.24682588434066904,-0.01651165691180577,index4
51,2.0,0.055040832243326496,-0.2818723848191438,0.033075591615118374,middle1
52,2.0,0.02376881870367295,-0.24790475411314833,0.02197426536076373,middle2
53,2.0,0.008564012224622164,-0.2388784301632389,0.003022074744692696,middle3
54,2.0,-0.0021492326931169675,-0.24236506465921603,-0.017875433562219933,middle4
55,2.0,0.07113065263428815,-0.27266065030850656,0.020928964937898933,ring1
56,2.0,0.04494133012488555,-0.24116094436972013,0.017127438602707476,ring2
57,2.0,0.028412026154890704,-0.23297758221292864,0.003842339445307902,ring3
58,2.0,0.017558747749671463,-0.23591320825756817,-0.01468340290454525,ring4
59,2.0,0.08547158529970177,-0.2686187967939326,0.0016854620276095106,little1
60,2.0,0.05593154684234604,-0.2434337148841096,-0.0036842955144926123,little2
61,2.0,,,,little3
62,2.0,,,,little4
63,3.0,,,,elbow
64,3.0,0.08124733612028105,-0.3378109709602741,-0.015337293928683146,wrist
65,3.0,0.002595698368910604,-0.3094488049089605,-0.007481753287761489,thumb1
66,3.0,-0.012815443816900779,-0.2846706179764293,-0.007614638225759626,thumb2
67,3.0,-0.021463097865782224,-0.26065695727407945,-0.00991382105096629,thumb3
68,3.0,0.033541434706605325,-0.2935663044109725,0.036073123630427015,index1
69,3.0,0.006703698357272497,-0.26464715844217634,0.01846221077921252,index2
70,3.0,-0.0055994206308925265,-0.2532817708320534,-0.0002271238007348908,index3
71,3.0,-0.01504050354746074,-0.2471919263199364,-0.016288713580644196,index4
72,3.0,0.055023979932855266,-0.28218865816161554,0.032911595062345145,middle1
73,3.0,0.023805915188813587,-0.2479873732111738,0.021843758108164357,middle2
74,3.0,0.006671398829052308,-0.23901343986433166,0.006521665348003913,middle3
75,3.0,-0.0030136779293474247,-0.242659679307826,-0.01847354909898717,middle4
76,3.0,0.07116058999008346,-0.2727831123978661,0.020958457917088585,ring1
