,frame,x,y,z,bodypart
0,0.0,,,,elbow
1,0.0,0.15730147063732147,-0.4348258376121521,-0.015986571088433266,wrist
2,0.0,0.03993036597967148,-0.36594754457473755,-0.05762201547622681,thumb1
3,0.0,-0.015147101134061813,-0.3476395308971405,-0.0508502833545208,thumb2
4,0.0,-0.026205116882920265,-0.3198745846748352,-0.051438719034194946,thumb3
5,0.0,-0.010008650831878185,-0.31308525800704956,-0.035247545689344406,index1
6,0.0,0.012740494683384895,-0.32164761424064636,-0.0019940936472266912,index2
7,0.0,-0.00843767449259758,-0.294812947511673,-0.00542027223855257,index3
8,0.0,-0.020979801192879677,-0.2783491015434265,-0.011013270355761051,index4
9,0.0,-0.008108635433018208,-0.28925392031669617,-0.019397007301449776,middle1
10,0.0,0.03186897188425064,-0.30973273515701294,-0.002560049993917346,middle2
11,0.0,0.006561857182532549,-0.279780775308609,-0.005760889034718275,middle3
12,0.0,-0.008663279004395008,-0.2611767649650574,-0.01101048942655325,middle4
13,0.0,0.006082918960601091,-0.276726096868515,-0.021954737603664398,ring1
14,0.0,0.04983336851000786,-0.30349624156951904,-0.011495118029415607,ring2
15,0.0,0.027385767549276352,-0.2763500213623047,-0.007512090262025595,ring3
16,0.0,0.013045731000602245,-0.26107826828956604,-0.009891873225569725,ring4
17,0.0,0.025655707344412804,-0.2749576270580292,-0.026026466861367226,little1
18,0.0,0.06582202017307281,-0.2995709478855133,-0.028678515926003456,little2
19,0.0,0.05216541513800621,-0.2813594937324524,-0.014925682917237282,little3
20,0.0,0.04107427969574928,-0.27093812823295593,-0.010409689508378506,little4
21,1.0,,,,elbow
22,1.0,0.1178613230586052,-0.4112635850906372,-0.03941420838236809,wrist
23,1.0,0.017484255135059357,-0.36537426710128784,-0.06187702715396881,thumb1
24,1.0,-0.021433033049106598,-0.34359055757522583,-0.05928368493914604,thumb2
25,1.0,-0.02870318666100502,-0.31713807582855225,-0.06202148646116257,thumb3
26,1.0,-0.0026320009492337704,-0.32187336683273315,-0.03152831643819809,index1
27,1.0,0.005287957843393087,-0.31434521079063416,-0.005485521163791418,index2
28,1.0,-0.012380994856357574,-0.2905988097190857,-0.007763807196170092,index3
29,1.0,-0.023856427520513535,-0.27467042207717896,-0.01281028427183628,index4
30,1.0,0.006709079258143902,-0.30383142828941345,-0.022533416748046875,middle1
31,1.0,0.02387172542512417,-0.30212005972862244,-0.004350596573203802,middle2
32,1.0,0.002788744168356061,-0.2750721573829651,-0.007645036559551954,middle3
33,1.0,-0.010492859408259392,-0.257992684841156,-0.012478050775825977,middle4
34,1.0,0.023007214069366455,-0.2947919964790344,-0.027543868869543076,ring1
35,1.0,0.04389624670147896,-0.2989809811115265,-0.011559338308870792,ring2
36,1.0,0.024640874937176704,-0.27407145500183105,-0.008824623189866543,ring3
37,1.0,0.012009910307824612,-0.2597949802875519,-0.011344162747263908,ring4
38,1.0,0.04234571009874344,-0.2920539379119873,-0.03590957075357437,little1
39,1.0,0.06200127303600311,-0.29836612939834595,-0.02929936721920967,little2
40,1.0,0.05089017376303673,-0.28188633918762207,-0.015346385538578033,little3
41,1.0,0.04023444652557373,-0.2721005082130432,-0.011623329482972622,little4
42,2.0,,,,elbow
43,2.0,0.09037341177463531,-0.3947344124317169,-0.05568917840719223,wrist
44,2.0,0.0018616579473018646,-0.3649694323539734,-0.0648391842842102,thumb1
45,2.0,-0.02581601031124592,-0.3408091366291046,-0.06513246148824692,thumb2
46,2.0,-0.03049902804195881,-0.31529128551483154,-0.06930485367774963,thumb3
